Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
CMG,Chipotle Mexican Grill,61.2,2304.3501,-2.75,-0.12%,2348.42,1344.05,63.68%,2023/12/22
CMI,Cummins Inc,0,236.99,-7.01,-2.87%,265.28,203.18,-1.53%,2023/12/22
CMS,Cms Energy Corp,-8.6,57.23,0.32,0.56%,65.72,49.87,-8.53%,2023/12/22
CNC,Centene Corp,-3,73.34,-0.07,-0.10%,83.61,60.83,-10.82%,2023/12/22
CNP,Centerpoint Energy Inc,-6.1,28.38,0.08,0.28%,31.47,25.42,-6.37%,2023/12/22
COF,Capital One Financial Corp,49.1,129.74,0.1,0.08%,132.14,83.93,44.98%,2023/12/22
COO,Cooper Companies,12.3,373.4,4.94,1.34%,399.62,303.74,12.87%,2023/12/22
COP,Conocophillips,4.3,117.66,0.83,0.71%,127.35,91.53,4.22%,2023/12/22
COR,Cencora Inc,23.3,203.04,0.77,0.38%,205.83,147.48,19.95%,2023/12/22
COST,Costco Wholesale,51.3,671.6,6.44,0.97%,681.91,447.9,46.41%,2023/12/22
CPB,Campbell Soup Company,-22.2,43,0.23,0.54%,57.78,37.94,-24.32%,2023/12/22
CPRT,Copart Inc,54.1,48.81,0.4,0.83%,51.53,29.72,62.75%,2023/12/22
CPT,Camden Property Trust,-12.4,97.79,0.55,0.57%,127.6,82.81,-11.23%,2023/12/22
CRL,Charles River Laboratories Intl,16.5,236.23,0.51,0.22%,262,161.65,8.18%,2023/12/22
CRM,Salesforce Inc,97.9,266.34,-0.91,-0.34%,268.36,127.59,106.16%,2023/12/22
CSCO,Cisco Systems Inc,2.5,50.09,0.39,0.78%,58.19,45.56,5.85%,2023/12/22
CSGP,Costar Group Inc,17.2,87.47,0.4,0.46%,92.36,65.12,13.23%,2023/12/22
CSX,CSX Corp,14.8,34.63,0.17,0.49%,34.83,27.6,11.82%,2023/12/22
CTAS,Cintas Corp,37.6,595.24,5.29,0.90%,597.74,423.06,31.54%,2023/12/22
CTLT,Catalent Inc,18.9,44.08,0.18,0.41%,74.49,31.45,2.51%,2023/12/22
CTRA,Coterra Energy Inc,0.9,25.78,0.04,0.16%,29.89,22.25,5.18%,2023/12/22
CTSH,Cognizant Tech Sol,34.2,75.15,0.99,1.33%,76.85,54.99,35.50%,2023/12/22
CTVA,Corteva Inc,-22.1,47.46,0.17,0.36%,65.21,43.22,-19.42%,2023/12/22
CVS,CVS Corp,-6.8,78.76,0.14,0.18%,94.21,64.41,-15.67%,2023/12/22
CVX,Chevron Corp,-14,151.05,0.34,0.23%,187.81,140.72,-12.22%,2023/12/22
CZR,Caesars Entertainment Inc,4.6,46.82,-0.85,-1.78%,60.27,38.33,9.93%,2023/12/22
D,Dominion Energy Inc,-21.3,46.8,0.05,0.11%,63.94,39.18,-22.63%,2023/12/22
DAL,Delta Air Lines Inc,22.1,41.13,0.01,0.02%,49.81,30.6,24.94%,2023/12/22
DD,Dupont Denemours Inc,10.3,75.53,1.17,1.57%,78.74,62.8,11.81%,2023/12/22
DE,Deere & Company,-6,396.82,3.48,0.88%,450,345.55,-8.96%,2023/12/22
DFS,Discover Financial Services,18.2,110.99,-0.17,-0.15%,122.5,79.04,14.59%,2023/12/22
DG,Dollar General Corp,-43.7,132.21,2.12,1.63%,251,101.09,-46.15%,2023/12/22
DGX,Quest Diagnostics Inc,-8.2,136.74,0.7,0.51%,158.34,119.59,-12.14%,2023/12/22
DHI,D.R. Horton,74.7,149.94,-0.39,-0.26%,154.64,87.27,65.95%,2023/12/22
DHR,Danaher Corp,3.7,230.36,0.01,0.00%,247.62,182.09,0.45%,2023/12/22
DIS,Walt Disney Company,2.4,91.02,-1,-1.09%,118.18,78.73,5.02%,2023/12/22
DLR,Digital Realty Trust,37.1,135.12,0.21,0.16%,139.35,86.33,35.31%,2023/12/22
DLTR,Dollar Tree Inc,-0.9,136.56,2.23,1.66%,161.1,102.77,-2.49%,2023/12/22
