Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PEP,Pepsico Inc,167.68,0.71,0.43%,168.17,166.86,3030300,2023/12/22
PYPL,Paypal Holdings,61.84,-0.22,-0.35%,62.73,61.58,13175399,2023/12/22
QCOM,Qualcomm Inc,143.49,1.05,0.74%,144.4,142.75,4659200,2023/12/22
REGN,Regeneron Pharmaceuticals,846.72,4.84,0.57%,851.16,843.39,742700,2023/12/22
ROST,Ross Stores Inc,136.42,0.54,0.40%,136.65,135.54,1422700,2023/12/22
SBUX,Starbucks Corp,95.28,-0.05,-0.05%,95.83,94.34,6361000,2023/12/22
SIRI,Sirius XM Holdings,5.47,-0.01,-0.18%,5.49,5.39,8635399,2023/12/22
SNPS,Synopsys Inc,524.46,-35.5,-6.34%,562.05,523,2971200,2023/12/22
TEAM,Atlassian Corp,240.8,-4.23,-1.73%,248,238.65,1865100,2023/12/22
TMUS,T-Mobile US,155.71,0.78,0.50%,156.18,154.32,2783900,2023/12/22
TSLA,Tesla Inc,252.54,-1.96,-0.77%,258.22,251.37,93370094,2023/12/22
TTD,Trade Desk Inc,73.43,-2.95,-3.86%,75.64,72.79,7140700,2023/12/22
TXN,Texas Instruments,168.24,1.43,0.86%,168.92,166.82,3492300,2023/12/22
VRSK,Verisk Analytics Inc,236.2,1.19,0.51%,237.04,234.97,918700,2023/12/22
VRTX,Vertex Pharmaceutic,405.25,4.62,1.15%,406.91,402.35,804200,2023/12/22
WBA,Walgreens Boots Alliance,26.22,0.16,0.61%,26.57,25.8,9777101,2023/12/22
WBD,Discovery Inc Series A,11.27,-0.22,-1.91%,11.63,11.21,21560801,2023/12/22
WDAY,Workday Inc,272.57,-0.33,-0.12%,275.81,271.33,1178300,2023/12/22
XEL,XCEL Energy Inc,62.06,0.53,0.86%,62.43,61.81,2429400,2023/12/22
ZM,Zoom Video Communications Cl A,72.5,0.6,0.83%,72.84,71.67,2386800,2023/12/22
ZS,Zscaler Inc,221.68,0.35,0.16%,222.07,219.37,913300,2023/12/22
